Number,Year,Percentage,Repeated
1,2019,SEPTEMBER,0.004329004329004329,2.0
1,2019,JULY,0.004329004329004329,2.0
1,2019,MAY,0.006493506493506494,3.0
1,2019,APRIL,0.0021645021645021645,1.0
1,2019,MARCH,0.0021645021645021645,1.0
1,2019,JANUARY,0.0021645021645021645,1.0
2,2019,SEPTEMBER,0.0021645021645021645,1.0
2,2019,AUGUST,0.006493506493506494,3.0
2,2019,MAY,0.0021645021645021645,1.0
2,2019,APRIL,0.0021645021645021645,1.0
2,2019,MARCH,0.0021645021645021645,1.0
2,2019,FEBRUARY,0.0021645021645021645,1.0
2,2019,JANUARY,0.0021645021645021645,1.0
3,2019,SEPTEMBER,0.004329004329004329,2.0
3,2019,JUNE,0.004329004329004329,2.0
3,2019,MAY,0.004329004329004329,2.0
3,2019,APRIL,0.004329004329004329,2.0
3,2019,MARCH,0.004329004329004329,2.0
3,2019,FEBRUARY,0.004329004329004329,2.0
3,2019,JANUARY,0.004329004329004329,2.0
4,2019,SEPTEMBER,0.0021645021645021645,1.0
4,2019,AUGUST,0.004329004329004329,2.0
4,2019,JULY,0.004329004329004329,2.0
4,2019,APRIL,0.0021645021645021645,1.0
4,2019,JANUARY,0.0021645021645021645,1.0
5,2019,SEPTEMBER,0.004329004329004329,2.0
5,2019,AUGUST,0.0021645021645021645,1.0
5,2019,JUNE,0.004329004329004329,2.0
5,2019,MAY,0.0021645021645021645,1.0
5,2019,APRIL,0.008658008658008658,4.0
5,2019,MARCH,0.0021645021645021645,1.0
5,2019,FEBRUARY,0.0021645021645021645,1.0
5,2019,JANUARY,0.0021645021645021645,1.0
6,2019,AUGUST,0.0021645021645021645,1.0
6,2019,JULY,0.004329004329004329,2.0
6,2019,JUNE,0.004329004329004329,2.0
6,2019,MAY,0.004329004329004329,2.0
6,2019,APRIL,0.0021645021645021645,1.0
6,2019,MARCH,0.004329004329004329,2.0
6,2019,FEBRUARY,0.0021645021645021645,1.0
6,2019,JANUARY,0.0021645021645021645,1.0
7,2019,JUNE,0.004329004329004329,2.0
7,2019,MAY,0.004329004329004329,2.0
7,2019,APRIL,0.0021645021645021645,1.0
7,2019,FEBRUARY,0.004329004329004329,2.0
7,2019,JANUARY,0.004329004329004329,2.0
8,2019,AUGUST,0.0021645021645021645,1.0
8,2019,JULY,0.004329004329004329,2.0
8,2019,JUNE,0.004329004329004329,2.0
8,2019,MARCH,0.004329004329004329,2.0
8,2019,JANUARY,0.004329004329004329,2.0
9,2019,SEPTEMBER,0.0021645021645021645,1.0
9,2019,JULY,0.0021645021645021645,1.0
9,2019,JUNE,0.004329004329004329,2.0
9,2019,APRIL,0.0021645021645021645,1.0
9,2019,MARCH,0.004329004329004329,2.0
9,2019,FEBRUARY,0.0021645021645021645,1.0
10,2019,SEPTEMBER,0.0021645021645021645,1.0
10,2019,AUGUST,0.004329004329004329,2.0
10,2019,MAY,0.004329004329004329,2.0
10,2019,MARCH,0.004329004329004329,2.0
10,2019,FEBRUARY,0.004329004329004329,2.0
10,2019,JANUARY,0.004329004329004329,2.0
11,2019,JULY,0.004329004329004329,2.0
11,2019,JUNE,0.0021645021645021645,1.0
11,2019,MAY,0.0021645021645021645,1.0
11,2019,APRIL,0.0021645021645021645,1.0
11,2019,MARCH,0.0021645021645021645,1.0
11,2019,FEBRUARY,0.006493506493506494,3.0
11,2019,JANUARY,0.004329004329004329,2.0
12,2019,SEPTEMBER,0.004329004329004329,2.0
12,2019,JUNE,0.004329004329004329,2.0
12,2019,MARCH,0.0021645021645021645,1.0
12,2019,JANUARY,0.0021645021645021645,1.0
13,2019,SEPTEMBER,0.004329004329004329,2.0
13,2019,MAY,0.0021645021645021645,1.0
13,2019,APRIL,0.0021645021645021645,1.0
13,2019,MARCH,0.006493506493506494,3.0
13,2019,FEBRUARY,0.0021645021645021645,1.0
13,2019,JANUARY,0.006493506493506494,3.0
14,2019,AUGUST,0.004329004329004329,2.0
14,2019,JUNE,0.004329004329004329,2.0
14,2019,MARCH,0.0021645021645021645,1.0
14,2019,FEBRUARY,0.0021645021645021645,1.0
15,2019,SEPTEMBER,0.004329004329004329,2.0
15,2019,AUGUST,0.0021645021645021645,1.0
15,2019,MAY,0.004329004329004329,2.0
15,2019,APRIL,0.0021645021645021645,1.0
15,2019,MARCH,0.0021645021645021645,1.0
15,2019,JANUARY,0.004329004329004329,2.0
16,2019,SEPTEMBER,0.0021645021645021645,1.0
16,2019,AUGUST,0.004329004329004329,2.0
16,2019,JULY,0.004329004329004329,2.0
16,2019,JUNE,0.0021645021645021645,1.0
16,2019,APRIL,0.0021645021645021645,1.0
16,2019,MARCH,0.0021645021645021645,1.0
16,2019,FEBRUARY,0.0021645021645021645,1.0
16,2019,JANUARY,0.004329004329004329,2.0
17,2019,AUGUST,0.0021645021645021645,1.0
17,2019,JUNE,0.0021645021645021645,1.0
17,2019,MAY,0.004329004329004329,2.0
17,2019,MARCH,0.0021645021645021645,1.0
17,2019,FEBRUARY,0.0021645021645021645,1.0
17,2019,JANUARY,0.008658008658008658,4.0
18,2019,SEPTEMBER,0.0021645021645021645,1.0
18,2019,AUGUST,0.004329004329004329,2.0
18,2019,JULY,0.004329004329004329,2.0
18,2019,JUNE,0.0021645021645021645,1.0
18,2019,MAY,0.0021645021645021645,1.0
18,2019,MARCH,0.004329004329004329,2.0
18,2019,FEBRUARY,0.0021645021645021645,1.0
18,2019,JANUARY,0.0021645021645021645,1.0
19,2019,JULY,0.004329004329004329,2.0
19,2019,MAY,0.006493506493506494,3.0
19,2019,FEBRUARY,0.0021645021645021645,1.0
19,2019,JANUARY,0.004329004329004329,2.0
20,2019,SEPTEMBER,0.0021645021645021645,1.0
20,2019,AUGUST,0.0021645021645021645,1.0
20,2019,JULY,0.0021645021645021645,1.0
20,2019,JUNE,0.0021645021645021645,1.0
20,2019,MAY,0.006493506493506494,3.0
20,2019,APRIL,0.0021645021645021645,1.0
20,2019,FEBRUARY,0.004329004329004329,2.0
20,2019,JANUARY,0.0021645021645021645,1.0
21,2019,AUGUST,0.0021645021645021645,1.0
21,2019,JUNE,0.004329004329004329,2.0
21,2019,APRIL,0.0021645021645021645,1.0
21,2019,FEBRUARY,0.004329004329004329,2.0
22,2019,SEPTEMBER,0.0021645021645021645,1.0
22,2019,AUGUST,0.0021645021645021645,1.0
22,2019,JULY,0.0021645021645021645,1.0
22,2019,JUNE,0.004329004329004329,2.0
22,2019,MAY,0.0021645021645021645,1.0
22,2019,APRIL,0.0021645021645021645,1.0
22,2019,MARCH,0.004329004329004329,2.0
22,2019,FEBRUARY,0.0021645021645021645,1.0
22,2019,JANUARY,0.0021645021645021645,1.0
23,2019,SEPTEMBER,0.0021645021645021645,1.0
23,2019,AUGUST,0.004329004329004329,2.0
23,2019,JULY,0.0021645021645021645,1.0
23,2019,JUNE,0.0021645021645021645,1.0
23,2019,MAY,0.0021645021645021645,1.0
23,2019,APRIL,0.004329004329004329,2.0
23,2019,MARCH,0.0021645021645021645,1.0
23,2019,FEBRUARY,0.004329004329004329,2.0
23,2019,JANUARY,0.004329004329004329,2.0
24,2019,SEPTEMBER,0.0021645021645021645,1.0
24,2019,AUGUST,0.004329004329004329,2.0
24,2019,JULY,0.0021645021645021645,1.0
24,2019,JUNE,0.004329004329004329,2.0
24,2019,MAY,0.004329004329004329,2.0
24,2019,APRIL,0.0021645021645021645,1.0
24,2019,MARCH,0.0021645021645021645,1.0
25,2019,AUGUST,0.004329004329004329,2.0
25,2019,JUNE,0.0021645021645021645,1.0
25,2019,MAY,0.0021645021645021645,1.0
25,2019,APRIL,0.0021645021645021645,1.0
25,2019,MARCH,0.0021645021645021645,1.0
25,2019,FEBRUARY,0.004329004329004329,2.0
25,2019,JANUARY,0.004329004329004329,2.0
26,2019,SEPTEMBER,0.004329004329004329,2.0
26,2019,AUGUST,0.004329004329004329,2.0
26,2019,JULY,0.004329004329004329,2.0
26,2019,JUNE,0.0021645021645021645,1.0
26,2019,MAY,0.0021645021645021645,1.0
26,2019,APRIL,0.0021645021645021645,1.0
26,2019,MARCH,0.004329004329004329,2.0
26,2019,FEBRUARY,0.0021645021645021645,1.0
27,2019,SEPTEMBER,0.0021645021645021645,1.0
27,2019,JULY,0.0021645021645021645,1.0
27,2019,MAY,0.0021645021645021645,1.0
27,2019,MARCH,0.006493506493506494,3.0
27,2019,FEBRUARY,0.0021645021645021645,1.0
27,2019,JANUARY,0.0021645021645021645,1.0
28,2019,AUGUST,0.006493506493506494,3.0
28,2019,JUNE,0.0021645021645021645,1.0
28,2019,MAY,0.004329004329004329,2.0
28,2019,APRIL,0.004329004329004329,2.0
28,2019,FEBRUARY,0.0021645021645021645,1.0
28,2019,JANUARY,0.006493506493506494,3.0
29,2019,SEPTEMBER,0.004329004329004329,2.0
29,2019,AUGUST,0.006493506493506494,3.0
29,2019,JULY,0.0021645021645021645,1.0
29,2019,JUNE,0.0021645021645021645,1.0
29,2019,MAY,0.0021645021645021645,1.0
29,2019,MARCH,0.0021645021645021645,1.0
29,2019,FEBRUARY,0.0021645021645021645,1.0
30,2019,SEPTEMBER,0.004329004329004329,2.0
30,2019,AUGUST,0.0021645021645021645,1.0
30,2019,JULY,0.004329004329004329,2.0
30,2019,JUNE,0.0021645021645021645,1.0
30,2019,MARCH,0.004329004329004329,2.0
30,2019,FEBRUARY,0.0021645021645021645,1.0
31,2019,SEPTEMBER,0.0021645021645021645,1.0
31,2019,JULY,0.008658008658008658,4.0
31,2019,APRIL,0.0021645021645021645,1.0
31,2019,FEBRUARY,0.0021645021645021645,1.0
31,2019,JANUARY,0.0021645021645021645,1.0
32,2019,AUGUST,0.004329004329004329,2.0
32,2019,JUNE,0.0021645021645021645,1.0
32,2019,MAY,0.004329004329004329,2.0
32,2019,APRIL,0.006493506493506494,3.0
32,2019,MARCH,0.004329004329004329,2.0
33,2019,JULY,0.0021645021645021645,1.0
33,2019,JUNE,0.006493506493506494,3.0
33,2019,MAY,0.004329004329004329,2.0
33,2019,FEBRUARY,0.0021645021645021645,1.0
34,2019,AUGUST,0.0021645021645021645,1.0
34,2019,JULY,0.006493506493506494,3.0
34,2019,JUNE,0.0021645021645021645,1.0
34,2019,MAY,0.004329004329004329,2.0
34,2019,APRIL,0.010822510822510822,5.0
34,2019,MARCH,0.004329004329004329,2.0
34,2019,FEBRUARY,0.006493506493506494,3.0
35,2019,SEPTEMBER,0.0021645021645021645,1.0
35,2019,AUGUST,0.0021645021645021645,1.0
35,2019,MAY,0.004329004329004329,2.0
35,2019,MARCH,0.0021645021645021645,1.0
35,2019,FEBRUARY,0.004329004329004329,2.0
36,2019,JULY,0.004329004329004329,2.0
36,2019,JUNE,0.0021645021645021645,1.0
36,2019,APRIL,0.006493506493506494,3.0
36,2019,MARCH,0.004329004329004329,2.0
36,2019,JANUARY,0.0021645021645021645,1.0
37,2019,SEPTEMBER,0.006493506493506494,3.0
37,2019,JULY,0.004329004329004329,2.0
37,2019,JUNE,0.0021645021645021645,1.0
37,2019,MAY,0.0021645021645021645,1.0
37,2019,APRIL,0.004329004329004329,2.0
37,2019,MARCH,0.0021645021645021645,1.0
37,2019,FEBRUARY,0.0021645021645021645,1.0
38,2019,SEPTEMBER,0.0021645021645021645,1.0
38,2019,APRIL,0.0021645021645021645,1.0
38,2019,MARCH,0.0021645021645021645,1.0
38,2019,FEBRUARY,0.004329004329004329,2.0
38,2019,JANUARY,0.0021645021645021645,1.0
39,2019,SEPTEMBER,0.0021645021645021645,1.0
39,2019,AUGUST,0.0021645021645021645,1.0
39,2019,JULY,0.0021645021645021645,1.0
39,2019,JUNE,0.0021645021645021645,1.0
39,2019,MAY,0.0021645021645021645,1.0
39,2019,MARCH,0.004329004329004329,2.0
39,2019,FEBRUARY,0.0021645021645021645,1.0
39,2019,JANUARY,0.0021645021645021645,1.0
40,2019,AUGUST,0.004329004329004329,2.0
40,2019,JUNE,0.0021645021645021645,1.0
40,2019,APRIL,0.0021645021645021645,1.0
40,2019,MARCH,0.004329004329004329,2.0
40,2019,FEBRUARY,0.0021645021645021645,1.0
40,2019,JANUARY,0.004329004329004329,2.0
41,2019,SEPTEMBER,0.006493506493506494,3.0
41,2019,AUGUST,0.0021645021645021645,1.0
41,2019,JULY,0.004329004329004329,2.0
41,2019,JUNE,0.004329004329004329,2.0
41,2019,MAY,0.0021645021645021645,1.0
41,2019,APRIL,0.0021645021645021645,1.0
41,2019,FEBRUARY,0.004329004329004329,2.0
42,2019,SEPTEMBER,0.0021645021645021645,1.0
42,2019,JUNE,0.004329004329004329,2.0
42,2019,MAY,0.004329004329004329,2.0
42,2019,MARCH,0.0021645021645021645,1.0
42,2019,JANUARY,0.0021645021645021645,1.0
43,2019,SEPTEMBER,0.004329004329004329,2.0
43,2019,AUGUST,0.0021645021645021645,1.0
43,2019,JULY,0.008658008658008658,4.0
43,2019,JUNE,0.0021645021645021645,1.0
43,2019,APRIL,0.0021645021645021645,1.0
43,2019,FEBRUARY,0.0021645021645021645,1.0
43,2019,JANUARY,0.0021645021645021645,1.0
44,2019,AUGUST,0.004329004329004329,2.0
44,2019,JULY,0.0021645021645021645,1.0
44,2019,JUNE,0.0021645021645021645,1.0
44,2019,FEBRUARY,0.004329004329004329,2.0
44,2019,JANUARY,0.0021645021645021645,1.0
45,2019,JULY,0.004329004329004329,2.0
45,2019,JUNE,0.0021645021645021645,1.0
45,2019,MAY,0.006493506493506494,3.0
45,2019,APRIL,0.0021645021645021645,1.0
45,2019,MARCH,0.008658008658008658,4.0
45,2019,JANUARY,0.0021645021645021645,1.0
46,2019,SEPTEMBER,0.0021645021645021645,1.0
46,2019,AUGUST,0.0021645021645021645,1.0
46,2019,JULY,0.004329004329004329,2.0
46,2019,JUNE,0.0021645021645021645,1.0
46,2019,MAY,0.0021645021645021645,1.0
46,2019,APRIL,0.004329004329004329,2.0
46,2019,MARCH,0.004329004329004329,2.0
46,2019,FEBRUARY,0.004329004329004329,2.0
46,2019,JANUARY,0.004329004329004329,2.0
47,2019,SEPTEMBER,0.0021645021645021645,1.0
47,2019,AUGUST,0.004329004329004329,2.0
47,2019,JUNE,0.004329004329004329,2.0
47,2019,MAY,0.004329004329004329,2.0
47,2019,APRIL,0.006493506493506494,3.0
47,2019,FEBRUARY,0.0021645021645021645,1.0
47,2019,JANUARY,0.0021645021645021645,1.0
48,2019,AUGUST,0.004329004329004329,2.0
48,2019,JUNE,0.006493506493506494,3.0
48,2019,MARCH,0.0021645021645021645,1.0
49,2019,SEPTEMBER,0.006493506493506494,3.0
49,2019,AUGUST,0.0021645021645021645,1.0
49,2019,JUNE,0.0021645021645021645,1.0
49,2019,MAY,0.0021645021645021645,1.0
49,2019,MARCH,0.0021645021645021645,1.0
49,2019,FEBRUARY,0.0021645021645021645,1.0
49,2019,JANUARY,0.0021645021645021645,1.0
50,2019,SEPTEMBER,0.004329004329004329,2.0
50,2019,JULY,0.004329004329004329,2.0
50,2019,MAY,0.0021645021645021645,1.0
50,2019,JANUARY,0.004329004329004329,2.0
51,2019,SEPTEMBER,0.004329004329004329,2.0
51,2019,JULY,0.0021645021645021645,1.0
51,2019,JUNE,0.004329004329004329,2.0
51,2019,MAY,0.0021645021645021645,1.0
51,2019,APRIL,0.0021645021645021645,1.0
51,2019,MARCH,0.0021645021645021645,1.0
51,2019,FEBRUARY,0.0021645021645021645,1.0
51,2019,JANUARY,0.0021645021645021645,1.0
52,2019,SEPTEMBER,0.004329004329004329,2.0
52,2019,AUGUST,0.0021645021645021645,1.0
52,2019,JULY,0.006493506493506494,3.0
52,2019,MAY,0.006493506493506494,3.0
52,2019,APRIL,0.0021645021645021645,1.0
52,2019,JANUARY,0.004329004329004329,2.0
53,2019,SEPTEMBER,0.0021645021645021645,1.0
53,2019,JULY,0.004329004329004329,2.0
53,2019,JUNE,0.006493506493506494,3.0
53,2019,APRIL,0.004329004329004329,2.0
53,2019,JANUARY,0.006493506493506494,3.0
54,2019,AUGUST,0.004329004329004329,2.0
54,2019,JULY,0.0021645021645021645,1.0
54,2019,JUNE,0.0021645021645021645,1.0
54,2019,MAY,0.0021645021645021645,1.0
54,2019,MARCH,0.004329004329004329,2.0
54,2019,FEBRUARY,0.0021645021645021645,1.0
54,2019,JANUARY,0.0021645021645021645,1.0
55,2019,SEPTEMBER,0.0021645021645021645,1.0
55,2019,JULY,0.0021645021645021645,1.0
55,2019,JUNE,0.0021645021645021645,1.0
55,2019,MAY,0.0021645021645021645,1.0
55,2019,APRIL,0.004329004329004329,2.0
56,2019,SEPTEMBER,0.0021645021645021645,1.0
56,2019,JULY,0.004329004329004329,2.0
56,2019,MARCH,0.0021645021645021645,1.0
